Question,Answer
"Have you completed the following level of education: Bachelor's Degree?
Have you completed the following level of education: Bachelor's Degree?
Required
Yes
No",Yes
"Do you have a valid driver's license?
Do you have a valid driver's license?
Required
Yes
No",No
"Do you have the following license or certification: Google Cloud Certified Professional Cloud Architect?
Do you have the following license or certification: Google Cloud Certified Professional Cloud Architect?
Required
Yes
No
Please make a selection",No
"have you completed the following level of education: bachelor's degree?
have you completed the following level of education: bachelor's degree?
required
yes
no",Yes
how many years of work experience do you have with c++?,0
"how many years of computer games experience do you currently have?
enter a whole number between 0 and 99",0
"how many years of engineering experience do you currently have?
enter a whole number between 0 and 99",3
"how many years of work experience do you have with unreal engine?
enter a whole number between 0 and 99",0
"how many years utilizing unreal engine?
enter a decimal number larger than 0.0",0
how many years of computer games experience do you currently have?,0
how many years of engineering experience do you currently have?,3
how many years of work experience do you have with unreal engine?,0
how many years utilizing unreal engine?,0
"how many years of work experience do you have with databases?
enter a whole number between 0 and 99",3
"how many years of work experience do you have with business development?
enter a whole number between 0 and 99",0
"are you comfortable commuting to this job's location?
are you comfortable commuting to this job's location?
required
yes
no
please make a selection",Yes
how many years of work experience do you have with databases?,3
how many years of work experience do you have with business development?,0
"are you comfortable commuting to this job's location?
are you comfortable commuting to this job's location?
required
yes
no",Yes
will you require visa sponsorship?,No
do you require visa sponsorship?,No
will you now or in the future require sponsorship for employment visa status?,No
are you legally authorized to work in the uk?,Yes
are you legally authorized to work in the united kingdom?,Yes
do you have the right to work in the uk?,Yes
will you require sponsorship for a work visa?,No
Will you now or in the future require sponsorship for employment visa status?Will you now or in the future require sponsorship for employment visa status?,No
Are you comfortable commuting to this job's location?Are you comfortable commuting to this job's location?,Yes
